Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,12/20/2023,,,,,,,,
Time:,1:00:47 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,35,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,70,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,600,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-E8,,,,,
Start Time:,12/20/2023 1:00:47 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GFP_low,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5399.9,6299.9,7199.9
Temp. [°C],37.1,37.1,37.4,37.2,37.3,37,37.5,37,37
B2,115,99,97,96,95,96,96,95,95
B3,125,105,103,103,103,102,103,103,103
B4,101,88,87,86,85,87,85,87,86
B5,125,106,103,102,101,101,101,104,103
B6,127,108,107,106,106,106,107,107,108
B7,72,62,61,61,60,60,61,62,62
B8,4,5,4,5,6,5,6,7,6
C2,152,133,129,130,128,129,129,131,128
C3,158,133,129,127,127,129,129,130,131
C4,144,126,123,123,122,124,124,125,122
C5,147,126,124,123,125,125,126,128,125
C6,166,132,129,129,128,129,128,130,127
C7,149,123,120,120,120,122,124,123,121
C8,4,4,5,5,6,5,6,6,5
D2,171,152,150,148,149,150,150,153,154
D3,179,153,150,147,148,147,149,149,150
D4,184,159,155,152,152,153,155,155,156
D5,167,148,145,143,144,143,144,147,147
D6,185,153,150,147,148,148,148,150,150
D7,172,147,143,142,145,145,145,148,149
D8,4,5,4,5,7,5,6,6,6
E2,149,135,134,131,129,129,129,128,128
E3,163,141,135,132,131,130,130,129,130
E4,179,155,153,148,149,152,156,159,160
E5,169,150,146,145,146,148,152,155,155
E6,177,150,147,142,145,146,148,151,150
E7,158,138,135,132,133,135,137,141,139
E8,5,5,6,5,4,7,6,6,8
,,,,,,,,,
GFP_high,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400,6300,7200
