,time,species,protein,ribo_density,delta,ribo_density_ave,codon,gfp_rbs,charging_rate,ecol
0,100.0,ATA_charged,5.333333333333333,0.0,-3.000000000000001,4.958,0.7,1e-06,10.0,0.02
1,100.0,ATA_uncharged,744.6666666666666,0.0,3.0,4.958,0.7,1e-06,10.0,0.02
2,100.0,TTT_charged,1738.3333333333333,0.0,-2.6666666666667425,4.958,0.7,1e-06,10.0,0.02
3,100.0,TTT_uncharged,11.666666666666666,0.0,2.666666666666666,4.958,0.7,1e-06,10.0,0.02
4,100.0,__GFP_rbs,10.0,0.0,0.0,4.958,0.7,1e-06,10.0,0.02
5,100.0,__cellularProtein_rbs,100.0,0.0,2.0,4.958,0.7,1e-06,10.0,0.02
6,100.0,free ribosome,0.0,0.0,-7.0,4.958,0.7,1e-06,10.0,0.02
7,100.0,cellularProtein,500.0,5.0,473.6666666666667,4.958,0.7,1e-06,10.0,0.02
8,100.0,ATA_charged,76.66666666666667,0.0,10.666666666666671,4.683,0.7,1e-06,100.0,0.02
9,100.0,ATA_uncharged,673.3333333333334,0.0,-10.666666666666629,4.683,0.7,1e-06,100.0,0.02
10,100.0,TTT_charged,1733.0,0.0,-3.0,4.683,0.7,1e-06,100.0,0.02
11,100.0,TTT_uncharged,17.0,0.0,3.0,4.683,0.7,1e-06,100.0,0.02
12,100.0,__GFP_rbs,10.0,0.0,0.0,4.683,0.7,1e-06,100.0,0.02
13,100.0,__cellularProtein_rbs,98.66666666666667,0.0,-0.6666666666666572,4.683,0.7,1e-06,100.0,0.02
14,100.0,free ribosome,31.0,0.0,-5.333333333333336,4.683,0.7,1e-06,100.0,0.02
15,100.0,cellularProtein,6640.333333333333,4.69,2679.9999999999995,4.683,0.7,1e-06,100.0,0.02
16,100.0,ATA_charged,434.6666666666667,0.0,-18.66666666666663,3.485666666666667,0.7,1e-06,1000.0,0.02
17,100.0,ATA_uncharged,315.3333333333333,0.0,18.66666666666663,3.485666666666667,0.7,1e-06,1000.0,0.02
18,100.0,TTT_charged,1745.6666666666667,0.0,1.6666666666667425,3.485666666666667,0.7,1e-06,1000.0,0.02
19,100.0,TTT_uncharged,4.333333333333333,0.0,-1.666666666666667,3.485666666666667,0.7,1e-06,1000.0,0.02
20,100.0,__GFP_rbs,10.0,0.0,0.0,3.485666666666667,0.7,1e-06,1000.0,0.02
21,100.0,__cellularProtein_rbs,100.0,0.0,0.3333333333333286,3.485666666666667,0.7,1e-06,1000.0,0.02
22,100.0,free ribosome,154.0,0.0,0.3333333333333428,3.485666666666667,0.7,1e-06,1000.0,0.02
23,100.0,cellularProtein,31004.333333333332,3.4599999999999995,12502.666666666664,3.485666666666667,0.7,1e-06,1000.0,0.02
24,100.0,ATA_charged,709.6666666666666,0.0,1.0,2.9353333333333333,0.7,1e-06,10000.0,0.02
25,100.0,ATA_uncharged,40.333333333333336,0.0,-1.0,2.9353333333333333,0.7,1e-06,10000.0,0.02
26,100.0,TTT_charged,1750.0,0.0,0.33333333333325754,2.9353333333333333,0.7,1e-06,10000.0,0.02
27,100.0,TTT_uncharged,0.0,0.0,-0.3333333333333333,2.9353333333333333,0.7,1e-06,10000.0,0.02
28,100.0,__GFP_rbs,10.0,0.0,0.0,2.9353333333333333,0.7,1e-06,10000.0,0.02
